name,price
"The Company Man (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
The Dog K (English),"Rp 29,000"
"F1® Manager 2022 (Simplified Chinese, English, Japanese)","Rp 779,000"
Fump Jump (English),"Rp 29,000"
"Idol Manager (Simplified Chinese, English, Japanese)","Rp 261,750"
"LootLite PS4 & PS5 (English, Japanese)","Rp 69,000"
"PAC-MAN WORLD Re-PAC PS4 & PS5 (English, Japanese)","Rp 249,000"
"SD GUNDAM BATTLE ALLIANCE - Deluxe Edition PS4 & PS5 (English, Thai, Japanese)","Rp 1,079,000"
"SD GUNDAM BATTLE ALLIANCE PS4 & PS5 (English, Thai, Japanese)","Rp 749,000"
"SD GUNDAM BATTLE ALLIANCE - Ultimate Edition PS4 & PS5 (English, Thai, Japanese)","Rp 1,379,000"
Soul Hackers 2 - Digital Deluxe PS4 & PS5 (English),"Rp 999,000"
Soul Hackers 2 PS4 & PS5 (English),"Rp 829,000"
"Soul Hackers 2 PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)","Rp 829,000"
"Kid Ball Adventure PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 69,000"
Are You Smarter Than A 5th Grader? | PS4 & PS5 (English),"Rp 429,000"
"Saints Row PS4&PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
"Yars: Recharged (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,000"
The Bat D (English),"Rp 29,000"
Spectrewoods (English),"Rp 15,000"
Drift Journey (English),"Rp 29,000"
Nump Jump (English),"Rp 29,000"
"Cloudpunk PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 235,000"
"The Ascent: Cyber Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 444,500"
Asdivine Cross (English),"Rp 198,000"
Disney•Pixar Toy Story 2: Buzz Lightyear to the Rescue! (English),"Rp 139,000"
"echochrome (Simplified Chinese, English, Traditional Chinese)","Rp 139,000"
Everybody's Golf (English),"Rp 139,000"
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
Jumping Flash! (English),"Rp 139,000"
Kurushi (I.Q Intelligent Qube) (English),"Rp 139,000"
Mr. Driller PS4 & PS5 (English),Included
Syphon Filter (English),"Rp 139,000"
TEKKEN2 PS4 & PS5 (English),Included
Wild Arms (English),"Rp 139,000"
Oddworld: Abe's Oddysee (PS1 Emulation) (English),"Rp 69,000"
Worms Armageddon [PS1 Emulation] (English),"Rp 139,000"
Worms World Party [PS1 Emulation] (English),"Rp 69,000"
"Source of Madness (Simplified Chinese, English, Korean, Thai, Japanese)","Rp 279,000"
"Dolmen (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 289,500"
#SinucaAttack (English),"Rp 69,000"
"A Monster's Expedition (Through Puzzling Exhibitions) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Sherlock Holmes Essential Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 559,600"
"Vampire: The Masquerade - Swansong (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
"FINAL SWORD (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"DEADCRAFT (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 174,300"
"DEADCRAFT Deluxe Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 398,000"
"Endzone - A World Apart (Simplified Chinese, English, Korean, Japanese)","Rp 349,500"
"Alveole (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 34,500"
"No Time to Relax (Simplified Chinese, English, Japanese)","Rp 69,000"
"SpellForce III Reforced (Simplified Chinese, English, Korean)","Rp 579,000"
"Grizzland (English, Korean, Japanese)","Rp 69,000"
Space KaBAAM 2 (English),"Rp 29,000"
"Gravitar: Recharged (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,000"
"Pretty Girls Speed PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 49,800"
"SILT (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 133,330"
"Summertime Madness (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 99,500"
"SnowRunner (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 579,000"
"Catty & Batty: The Spirit Guide (English, Japanese)","Rp 34,500"
"Dungeons of Sundaria (Simplified Chinese, English, Japanese)","Rp 279,000"
"Kao the Kangaroo (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
"Demon's Tier+ PS4 & PS5 (English, Japanese)","Rp 139,000"
"Music Racer: Ultimate (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 34,500"
Riddled Corpses EX PS4 & PS5 (English),"Rp 139,000"
"The Diabolical Trilogy PS4 & PS5 (English, Japanese)","Rp 181,350"
Xenon Valkyrie+ PS4 & PS5 (English),"Rp 139,000"
"The Lucid Dreamer Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 508,050"
Galactic Wars EX PS4 & PS5 (English),"Rp 111,000"
"Sniper Elite 5 PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
"Yurukill: The Calumniation Games (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 699,000"
Amazing Superhero Squad (English),"Rp 34,500"
"Blow & Fly PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 69,000"
Ape Escape (English),"Rp 139,000"
"SONIC ORIGINS Digital Deluxe PS4&PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 580,000"
"Raining Coins (Simplified Chinese, English, Korean, Japanese)","Rp 69,000"
"SONIC ORIGINS PS4&PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 526,000"
"Firegirl: Hack 'n Splash Rescue DX (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 199,000"
"Drunken Fist 2: Zombie Hangover PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 111,000"
Why Pizza? (English),"Rp 34,500"
Shadowrun: Dragonfall - Director's Cut (English),"Rp 279,000"
Shadowrun: Hong Kong - Extended Edition (English),"Rp 279,000"
Thunder Kid II: Null Mission PS4 & PS5 (English),"Rp 111,000"
"Jurassic World Evolution 2: Dominion Biosyn Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,129,000"
The Hand of Merlin (English),"Rp 429,000"
"RACCOON CITY EDITION (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 281,490"
"RESIDENT EVIL 2 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 166,800"
Shadowrun Returns (English),"Rp 279,000"
Shadowrun Trilogy PS4 & PS5 (English),"Rp 579,000"
The Elder Scrolls Online Collection: High Isle CE - PS4 & PS5 (English),"Rp 1,129,000"
The Elder Scrolls Online Collection: High Isle - PS4 & PS5 (English),"Rp 829,000"
"Fall Guys (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Free
"Redout 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 283,140"
"RESIDENT EVIL 2 Deluxe Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 691,000"
"RESIDENT EVIL 3 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 154,200"
"RESIDENT EVIL 7 biohazard (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 277,000"
"RESIDENT EVIL 7 biohazard Gold Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 556,000"
"Discovery Tour: Viking Age PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 289,000"
Resident Evil Director’s Cut (English),Included
"Redout 2 - Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 471,750"
"Overwatch® 2: Watchpoint Pack (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 542,000"
Armed Emeth (English),"Rp 198,000"
"Hell's High Harmonizers (English, Japanese)","Rp 139,000"
"Immortus Temporus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 34,500"
"Final Vendetta (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
"Saints Row - Boss Factory (Simplified Chinese, English, Korean, Traditional Chinese)",Free
Dragon Lapis (English),"Rp 198,000"
"The Quarry - Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 683,400"
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 999,000"
