Judul,Tanggal,Link
Infografik: Gas Air Mata dan Kekerasan,24/10/2022,https://www.unair.ac.id/infografik-gas-air-mata-dan-kekerasan/
Infografik: Potensi Mangrove Jenu Tuban Jadi Penghasil Antibiotik,17/10/2022,https://www.unair.ac.id/infografik-potensi-mangrove-jenu-tuban-jadi-penghasil-antibiotik/
Infografik: Limbah Cangkang Udang Bisa Jadi Penyerap Limbah Berat,06/10/2022,https://www.unair.ac.id/limbah-cangkang-udang-bisa-jadi-penyerap-limbah-berat/
Infografik: UNAIR Kukuhkan Guru Besar Periode 31 Agustus 2022,07/09/2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-10-agustus-2022-2/
Infografik: UNAIR Kukuhkan Guru Besar Periode 24 Agustus 2022,07/09/2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-24-agustus-2022/
Infografik: UNAIR Kukuhkan Guru Besar Periode 10 Agustus 2022,07/09/2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-10-agustus-2022/
Infografik: Daun Meniran Jadi Alternatif Sembuhkan PMK Hewan,27/07/2022,https://www.unair.ac.id/daun-meniran-jadi-alternatif-sembuhkan-pmk-hewan/
Infografik: Peneliti UNAIR Pecahkan Rekor Muri Bidang Stem Cell,12/07/2022,https://www.unair.ac.id/peneliti-unair-pecahkan-rekor-muri-bidang-stem-cell/
Infografik: SIKIA Lepasliarkan 42 Tukik,20/06/2022,https://www.unair.ac.id/infografik-sikia-lepasliarkan-42-tukik/
Infografik: Pengukuhan Gubes Periode 8 Juni 2022,13/06/2022,https://www.unair.ac.id/infografik-pengukuhan-gubes-periode-8-juni-2022/
Infografik : 3 Cara Cegah Bau Mulut,31/05/2022,https://www.unair.ac.id/infografik-3-cara-cegah-bau-mulut/
Infografik: Denah Lokasi UTBK di Kampus MERR (C) UNAIR Tahun 2022,13/05/2022,https://www.unair.ac.id/infografik-denah-lokasi-utbk-di-kampus-merr-c-unair-2022/
Infografik: Denah Lokasi UTBK di Kampus Dharmawangsa (B) UNAIR Tahun 2022,13/05/2022,https://www.unair.ac.id/denah-lokasi-ubtk-di-kampus-dharmawangsa-b-unair-tahun-2022/
Infografik: Denah Lokasi UTBK di Kampus Dharmahusada (A) UNAIR Tahun 2022,13/05/2022,https://www.unair.ac.id/infografik-denah-lokasi-utbk-di-kampus-dharmahusada-a-unair-tahun-2022/
Infografik: SMART University ala UNAIR,10/05/2022,https://www.unair.ac.id/infografik-smart-university-ala-unair/
Infografik: Musik Sebagai Narasi Sejarah,06/05/2022,https://www.unair.ac.id/infografik-musik-sebagai-narasi-sejarah/
Infografik: Taman-Taman Vertikal UNAIR,04/05/2022,https://www.unair.ac.id/infografik-taman-taman-vertikal-unair/
Infografik: Medali Perunggu dari Bakso,03/05/2022,https://www.unair.ac.id/infografik-medali-perunggu-dari-bakso/
Infografik: Tips Mudik Bawa Hewan Peliharaan,27/04/2022,https://www.unair.ac.id/infografik-tips-mudik-bawa-hewan-peliharaan/
Infografik: 3.000 Paket Sembako untuk Masyarakat,25/04/2022,https://www.unair.ac.id/infografik-3-000-paket-untuk-masyarakat/
Infografik: Tips Kontrol Kolesterol saat Puasa,19/04/2022,https://www.unair.ac.id/infografik-tips-kontrol-kolesterol-saat-puasa/
Infografik: Cegah Dehidrasi saat Puasa,18/04/2022,https://www.unair.ac.id/infografik-cegah-dehidrasi-saat-puasa/
Infografik: Rooftop Garden Universitas Airlangga,14/04/2022,https://www.unair.ac.id/infografik-rooftop-garden-universitas-airlangga/
Infografik: Jadwal Bus Flash Pagi-Siang UNAIR,08/04/2022,https://www.unair.ac.id/infografik-jadwal-bus-flash-pagi-siang-unair/
Infografik: SNMPTN UNAIR 2022,07/04/2022,https://www.unair.ac.id/infografik-snmptn-unair-2022/
Infografik: Mengenal Gangguan Pembohong Patologis,06/04/2022,https://www.unair.ac.id/infografik-mengenal-gangguan-pembohong-patologi/
Infografik: Faktor Utama Penyakit Ginjal Kronis,30/03/2022,https://www.unair.ac.id/infografik-faktor-utama-penyakit-ginjal-kronis/
Infografik: Konflik Rusia-Ukraina dan Harga Minyak,22/03/2022,https://www.unair.ac.id/infografik-konflik-rusia-ukraina-dan-harga-minyak/
Infografik: Gubes UNAIR Periode 16 Maret 2022,18/03/2022,https://www.unair.ac.id/infografik-gubes-unair-periode-16-maret-2022/
Infografik: Pentingnya APD Saat Mengolah Sampah,01/03/2022,https://www.unair.ac.id/infografik-pentingnya-apd-saat-mengolah-sampah/
Infografik: UNAIR-TNI Penuhi Kebutuhan Dokter Spesialis Indonesia,01/03/2022,https://www.unair.ac.id/infografik-unair-tni-penuhi-kebutuhan-dokter-spesialis-indonesia/
Infografik: Kelangkaan Minyak Goreng,01/03/2022,https://www.unair.ac.id/infografik-kelangkaan-minyak-goreng/
Infografik: Inovasi Pupuk dari Limbah Udang,24/02/2022,https://www.unair.ac.id/infografik-inovasi-pupuk-dari-limbah-udang/
Infografik: Logam Tanah Jarang,04/02/2022,https://www.unair.ac.id/infografik-logam-tanah-jarang/
Infografik: Cara Tingkatkan Imunitas Hadapi Varian Omicron,28/01/2022,https://www.unair.ac.id/infografik-cara-tingkatkan-imunitas-hadapi-varian-omicron/
Infografik: Peran Penting Sebuah Kota,28/01/2022,https://www.unair.ac.id/infografik-peran-penting-sebuah-kota/
Infografik: 3 Start-Up Karya Alumni UNAIR,21/01/2021,https://www.unair.ac.id/kenalan-pada-3-start-up-karya-alumni-unair/
Infografik: Keketatan Jalur SNMPTN dan SBMPTN UNAIR 2020,21/01/2021,https://www.unair.ac.id/tingkat-keketatan-jalur-snmptn-dan-sbmptn-unair-2020/
Infografik: Rektor UNAIR dari Masa ke Masa,20/01/2021,https://www.unair.ac.id/rektor-unair-dari-masa-ke-masa/
Infografik: Layanan Perpustakaan UNAIR saat Pandemi,19/01/2021,https://www.unair.ac.id/layanan-perpustakaan-unair-saat-pandemi-covid-19/
Infografik: RSTKA 3 Hari Berlayar Menuju Sulbar,18/01/2021,https://www.unair.ac.id/rstka-3-hari-berlayar-menuju-sulbar/
Infografik: 6 Tips bagi Fresh Graduate saat Melamar Kerja,15/01/2021,https://www.unair.ac.id/6-tips-bagi-fresh-graduate-saat-melamar-kerja/
Infografik: Daftar Program Studi UNAIR di Kampus C,14/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-c/
Infografik: Program Studi UNAIR di Kampus B,13/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a-2/
Infografik: Program Studi UNAIR di Kampus A,12/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a/
Infografik: Batas Wajar Adopsi Boneka Arwah,10/01/2022,https://www.unair.ac.id/infografik-batas-wajar-adopsi-boneka-arwah/
